Program_Degree_Name,Program_Format,Dual_Degree,Dual_Name,Dual_Id,Program_Id,No. of semesters,Include_Summer,StudentGroups,Code,Notes on Semesters,Original sequence
"Business Administration/MSW  (BMSW), M.B.A./M.S.W",Part Time Flex,Yes,MSW,10000401010004,1000040101012,8,Yes,Flex MBA - Current students,BMSW,,44
"Business Administration/MSW  (BPHR), M.B.A./PharmD",Full Time,Yes,PharmD,140048010110027,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students",BPHR,,24
"Business Administration/MSW  (BPHR), M.B.A./PharmD",Part Time Flex,Yes,PharmD,140048010110027,1000040101012,8,Yes,Flex MBA - Current students,BPHR,,45
"Business Administration/Nursing - Part Time Flex (BNRS), M.B.A.",Full Time,Yes,MSN (Health Services),140048010110026,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students",BNRS,,89
"Business Administration/Nursing - Part Time Flex (BNRS), M.B.A.",Part Time Flex,Yes,MSN (Health Services),140048010110026,1000040101012,8,No,Flex MBA - Current students,BNRS,,90
"Business Administration/Public Policy - Part Time Flex (BMPO), M.B.A./M.P.P.",Part Time Flex,Yes,MPP,10000401010002,1000040101012,8,Yes,Flex MBA - Current students,BMPO,,78
"Business Administration/Public Policy (BMPO), M.B.A./M.P.P.",Full Time,Yes,MPP,10000401010002,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students",BMPO,,18
"Business Administration/Public Policy (BMPO), M.B.A./M.P.P.",Part Time Flex,Yes,MPP,10000401010002,1000040101012,8,Yes,Flex MBA - Current students,BMPO,,40
"Business Administration/Real Estate Development - Part Time Flex (MBRE), M.B.A./M.RED",Part Time Flex,Yes,MRED (Real Estate Devt.),140048010110025,1000040101012,8,Yes,Flex MBA - Current students,MBRE,,93
"Business Administration/Real Estate Development (MBRE), M.B.A./M.RED",Full Time,Yes,MRED (Real Estate Devt.),140048010110025,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students",MBRE,,77
"Business Administration/Real Estate Development (MBRE), M.B.A./M.RED",Part Time Flex,Yes,MRED (Real Estate Devt.),140048010110025,1000040101012,8,Yes,Flex MBA - Current students,MBRE,,80
"Business Administration/Real Estate Development (MBRE), M.B.A./M.S",Full Time,Yes,MRED (Real Estate Devt.),140048010110025,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students",MBRE,,23
"Business Administration/Real Estate Development (MBRE), M.B.A./M.S",Part Time Flex,Yes,MRED (Real Estate Devt.),140048010110025,1000040101012,8,Yes,Flex MBA - Current students,MBRE,,46
"Business Administration/Supply Chain Management  (BASC), M.B.A./M.S.",Part Time Flex,Yes,MS in Supply Chain Management,140048010110024,1000040101012,8,Yes,"Flex MBA - Current students,MS in Supply Chain Management - New students,MS in Supply Chain Management - Seeking Internships",BASC,,42
"Business Administration/Supply Chain Management (BASC), M.B.A./M.S.",Full Time,Yes,MS in Supply Chain Management,140048010110024,1000040101001,6,No,"Full-time MBA - Seeking Internships,Full-time MBA - New students,MS in Supply Chain Management - New students,MS in Supply Chain Management - Seeking Internships",BASC,,27
"Business Analytics (BMAN), M.S.",Executive,No,,,1000040101005,3,No,"MS in Business Analytics - Seeking Internships,MS in Business Analytics - New students",BMAN,"Some students complete in 2 semesters, but we initially assume 3.",1
"Business Analytics (BMAN), M.S.",Full Time,No,,,1000040101005,3,No,"MS in Business Analytics - Seeking Internships,MS in Business Analytics - New students",BMAN,"Some students complete in 2 semesters, but we initially assume 3.",4
"Business Analytics (BMAN), M.S.",Full Time,No,,,1000040101005,3,No,"MS in Business Analytics - Seeking Internships,MS in Business Analytics - New students",BMAN,"Some students complete in 2 semesters, but we initially assume 3.",47
"Business Analytics (BMAN), M.S.",Part Time,No,,,1000040101005,3,No,"MS in Business Analytics - Seeking Internships,MS in Business Analytics - New students",BMAN,"Some students complete in 2 semesters, but we initially assume 3.",34
